rank,player_name,nation,position,team,league,age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,xg,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches,name_key,value_eur,age_tm
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-241,2003.0,13,10,978,10.9,2,2,4,2,0,1,2,0,3.0,2.2,1.1,3.3,38,25,63,0.18,0.18,0.37,0.18,0.37,0.27,0.1,0.37,0.2,0.3,Matches,matthis abline,22000000.0,22.0
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-310,2002.0,11,7,517,5.7,3,1,4,3,0,0,2,0,2.3,2.3,1.6,3.9,19,15,56,0.52,0.17,0.7,0.52,0.7,0.4,0.27,0.67,0.4,0.67,Matches,karim adeyemi,60000000.0,23.0
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-327,2002.0,8,4,301,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,8,2,35,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.22,0.04,0.22,Matches,simon adingra,25000000.0,23.0
45,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-171,2001.0,4,3,203,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,7,7,8,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches,rayan aitnouri,40000000.0,24.0
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-272,2002.0,12,11,935,10.4,3,2,5,3,0,0,2,0,3.4,3.4,2.2,5.6,37,57,76,0.29,0.19,0.48,0.29,0.48,0.33,0.21,0.54,0.33,0.54,Matches,maghnes akliouche,45000000.0,23.0
64,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-048,1998.0,6,3,249,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,5,8,16,0.0,0.0,0.0,0.0,0.0,0.02,0.25,0.27,0.02,0.27,Matches,trent alexanderarnold,75000000.0,27.0
69,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-212,2001.0,7,3,296,3.3,2,1,3,2,0,0,0,0,1.7,1.7,0.7,2.5,11,20,13,0.61,0.3,0.91,0.61,0.91,0.53,0.23,0.76,0.53,0.76,Matches,thiago almada,25000000.0,24.0
77,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-297,2000.0,13,13,996,11.1,7,2,9,5,2,3,2,0,6.1,3.7,3.6,7.3,29,51,69,0.63,0.18,0.81,0.45,0.63,0.55,0.32,0.87,0.34,0.66,Matches,julian alvarez,100000000.0,25.0
87,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-199,2000.0,11,8,714,7.9,4,1,5,3,1,1,2,0,3.6,2.9,1.9,4.8,21,11,54,0.5,0.13,0.63,0.38,0.5,0.46,0.25,0.7,0.36,0.61,Matches,mohamed amoura,32000000.0,25.0
90,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-177,1996.0,11,11,941,10.5,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,9,39,4,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,joachim andersen,27000000.0,29.0
